PID,NAME,RA,DEC,EPOC
SPLUS,SPLUS-d175,07:16:55.3846,-23:54:31.2991,2000.
SPLUS,SPLUS-d176,07:23:04.6154,-23:54:31.2991,2000.
SPLUS,SPLUS-d177,07:29:13.8462,-23:54:31.2991,2000.
SPLUS,SPLUS-d178,07:35:23.0769,-23:54:31.2991,2000.
SPLUS,SPLUS-d179,07:41:32.3077,-23:54:31.2991,2000.
SPLUS,SPLUS-d180,07:47:41.5385,-23:54:31.2991,2000.
SPLUS,SPLUS-d181,07:53:50.7692,-23:54:31.2991,2000.
SPLUS,SPLUS-d182,08:00:00,-23:54:31.2991,2000.
SPLUS,SPLUS-d184,06:38:57.6623,-25:18:00.5833,2000.
SPLUS,SPLUS-d185,06:45:11.6883,-25:18:00.5833,2000.
SPLUS,SPLUS-d186,06:51:25.7143,-25:18:00.5833,2000.
SPLUS,SPLUS-d187,06:57:39.7403,-25:18:00.5833,2000.
SPLUS,SPLUS-d188,07:03:53.7662,-25:18:00.5833,2000.
SPLUS,SPLUS-d189,07:10:07.7922,-25:18:00.5833,2000.
SPLUS,SPLUS-d190,07:16:21.8182,-25:18:00.5833,2000.
SPLUS,SPLUS-d191,07:22:35.8442,-25:18:00.5833,2000.
SPLUS,SPLUS-d192,07:28:49.8701,-25:18:00.5833,2000.
SPLUS,SPLUS-d193,07:35:03.8961,-25:18:00.5833,2000.
SPLUS,SPLUS-d194,07:41:17.9221,-25:18:00.5833,2000.
SPLUS,SPLUS-d196,07:53:45.974,-25:18:00.5833,2000.
SPLUS,SPLUS-d197,08:00:00,-25:18:00.5833,2000.
